Node	Cluster	Color	Origin
LITAF	12	#FFFF00FF	Disease Gene
MTMR2	12	#FFFF00FF	Disease Gene
JPH1	12	#FFFF00FF	RWR Added
GNB4	12	#FFFF00FF	Disease Gene
GDAP1	12	#FFFF00FF	Disease Gene
SBF2	12	#FFFF00FF	Disease Gene
FGD4	12	#FFFF00FF	Disease Gene
PMP22	11	#FFCCCCFF	Disease Gene
EGR2	11	#FFCCCCFF	Disease Gene
MPZ	11	#FFCCCCFF	Disease Gene
PRX	11	#FFCCCCFF	Disease Gene
PLP1	11	#FFCCCCFF	RWR Added
MAL	11	#FFCCCCFF	RWR Added
GJB1	11	#FFCCCCFF	Disease Gene
FA2H	11	#FFCCCCFF	RWR Added
SH3TC2	11	#FFCCCCFF	Disease Gene
TUBB4A	11	#FFCCCCFF	RWR Added
PMP2	11	#FFCCCCFF	Disease Gene
SPTB	11	#FFCCCCFF	RWR Added
DRP2	11	#FFCCCCFF	Disease Gene
SPTBN4	11	#FFCCCCFF	Disease Gene
MME	11	#FFCCCCFF	Disease Gene
GPR37L1	11	#FFCCCCFF	RWR Added
PRKCA	11	#FFCCCCFF	RWR Added
TAFA5	3	#FFCC00FF	RWR Added
CADM3	3	#FFCC00FF	Disease Gene
B4GALNT1	3	#FFCC00FF	Disease Gene
C10orf82	3	#FFCC00FF	RWR Added
SORCS1	3	#FFCC00FF	RWR Added
FRMPD4	3	#FFCC00FF	RWR Added
MAP1A	3	#FFCC00FF	RWR Added
CAMK2A	3	#FFCC00FF	RWR Added
RCAN2	3	#FFCC00FF	RWR Added
CALM1	3	#FFCC00FF	RWR Added
NMNAT2	3	#FFCC00FF	Disease Gene
SCN9A	3	#FFCC00FF	Disease Gene
SYT2	3	#FFCC00FF	RWR Added
NTRK1	3	#FFCC00FF	Disease Gene
NEFH	3	#FFCC00FF	Disease Gene
NEFM	3	#FFCC00FF	RWR Added
VAT1L	3	#FFCC00FF	RWR Added
KIF17	3	#FFCC00FF	RWR Added
SCN11A	3	#FFCC00FF	Disease Gene
