Node	Cluster	Color	Origin
IL6ST	7	#99991EFF	Disease Gene
KRAS	7	#99991EFF	RWR Added
BRAF	7	#99991EFF	RWR Added
ROCK1	7	#99991EFF	RWR Added
PRKX	7	#99991EFF	RWR Added
CTBP2	7	#99991EFF	RWR Added
NFE2L2	7	#99991EFF	Disease Gene
DNMT1	7	#99991EFF	RWR Added
ESR2	7	#99991EFF	RWR Added
MTHFD1	7	#99991EFF	Disease Gene
USP4	7	#99991EFF	RWR Added
KCTD10	7	#99991EFF	RWR Added
CRTC2	7	#99991EFF	RWR Added
STAT6	7	#99991EFF	Disease Gene
TP53	7	#99991EFF	RWR Added
PIK3R1	7	#99991EFF	RWR Added
FLT3	7	#99991EFF	RWR Added
STAT5B	7	#99991EFF	Disease Gene
PLXND1	3	#FFCC00FF	RWR Added
ORAI1	3	#FFCC00FF	Disease Gene
TCN2	3	#FFCC00FF	Disease Gene
SLC6A12	3	#FFCC00FF	RWR Added
SLC6A13	3	#FFCC00FF	RWR Added
MYH9	3	#FFCC00FF	RWR Added
ITPR3	3	#FFCC00FF	Disease Gene
TNXB	3	#FFCC00FF	RWR Added
TGFBR2	3	#FFCC00FF	Disease Gene
PLXDC1	3	#FFCC00FF	RWR Added
FLT3LG	3	#FFCC00FF	Disease Gene
CRACR2A	3	#FFCC00FF	Disease Gene
BCL11B	3	#FFCC00FF	Disease Gene
IKZF3	3	#FFCC00FF	Disease Gene
LIMD2	3	#FFCC00FF	RWR Added
CORO1A	3	#FFCC00FF	RWR Added
SP110	3	#FFCC00FF	Disease Gene
