Node	Cluster	Color	Origin
ADSSL1	1	#D10505	Disease Gene
AGL	1	#D10505	Disease Gene
AHNAK2	1	#D10505	Disease Gene
AHR	1	#D10505	RWR Added
AIMP1	1	#D10505	RWR Added
AKAP6	1	#D10505	RWR Added
AKAP9	1	#D10505	Disease Gene
ALB	1	#D10505	RWR Added
ALG14	1	#D10505	Disease Gene
ALG2	1	#D10505	Disease Gene
AMFR	1	#D10505	RWR Added
AMPD1	1	#D10505	RWR Added
AMPD2	1	#D10505	Disease Gene
ANG	1	#D10505	Disease Gene
ANK2	1	#D10505	Disease Gene
ANKH	1	#D10505	RWR Added
ANKRD2	1	#D10505	RWR Added
ANO10	1	#D10505	Disease Gene
ANO8	1	#D10505	RWR Added
ANXA11	1	#D10505	Disease Gene
AP4B1	1	#D10505	Disease Gene
AP4E1	1	#D10505	Disease Gene
AP4M1	1	#D10505	Disease Gene
AP4S1	1	#D10505	Disease Gene
AP5Z1	1	#D10505	Disease Gene
APOBEC2	1	#D10505	RWR Added
APOL2	1	#D10505	RWR Added
APOO	1	#D10505	Disease Gene
AR	1	#D10505	Disease Gene
ARFGEF2	1	#D10505	RWR Added
ARHGAP19	1	#D10505	RWR Added
ARHGAP6	1	#D10505	RWR Added
ARHGEF10	1	#D10505	Disease Gene
ASAH1	1	#D10505	Disease Gene
ASB15	1	#D10505	RWR Added
ATCAY	1	#D10505	RWR Added
ATG5	1	#D10505	Disease Gene
ATG7	1	#D10505	Disease Gene
ATL3	1	#D10505	Disease Gene
ATM	1	#D10505	Disease Gene
ATP13A2	1	#D10505	Disease Gene
ATP1A1	1	#D10505	Disease Gene
ATP1A3	1	#D10505	RWR Added
ATP1B2	1	#D10505	RWR Added
ATP6AP1	1	#D10505	RWR Added
ATP7A	1	#D10505	Disease Gene
ATXN1	1	#D10505	Disease Gene
ATXN10	1	#D10505	Disease Gene
ATXN3	1	#D10505	Disease Gene
ATXN7	1	#D10505	Disease Gene
ATXN8OS	1	#D10505	Disease Gene
AURKA	1	#D10505	RWR Added
B3GALNT2	1	#D10505	Disease Gene
B4GAT1	1	#D10505	Disease Gene
BAG5	1	#D10505	Disease Gene
BEAN1	1	#D10505	Disease Gene
BEST3	1	#D10505	RWR Added
BET1	1	#D10505	Disease Gene
BEX3	1	#D10505	RWR Added
BLVRA	1	#D10505	RWR Added
BMP7	1	#D10505	RWR Added
BOK	1	#D10505	RWR Added
BVES	1	#D10505	Disease Gene
BZW1	1	#D10505	RWR Added
C10orf71	1	#D10505	RWR Added
C10orf82	1	#D10505	RWR Added
C12orf65	1	#D10505	Disease Gene
C12orf75	1	#D10505	RWR Added
C1orf43	1	#D10505	RWR Added
C9orf72	1	#D10505	Disease Gene
CACNA1C	1	#D10505	Disease Gene
CACNA1G	1	#D10505	Disease Gene
CACNA1H	1	#D10505	Disease Gene
CACNB2	1	#D10505	Disease Gene
CACNB4	1	#D10505	Disease Gene
CACNG6	1	#D10505	RWR Added
CADM3	1	#D10505	Disease Gene
CADPS	1	#D10505	RWR Added
CALM2	1	#D10505	Disease Gene
CALM3	1	#D10505	Disease Gene
CALR3	1	#D10505	Disease Gene
CAMK2G	1	#D10505	RWR Added
CAMKMT	1	#D10505	RWR Added
CAMTA1	1	#D10505	RWR Added
CANX	1	#D10505	RWR Added
CAPN3	1	#D10505	Disease Gene
CAPZA2	1	#D10505	RWR Added
CASQ2	1	#D10505	Disease Gene
CAVIN1	1	#D10505	Disease Gene
CAVIN4	1	#D10505	RWR Added
CCDC78	1	#D10505	Disease Gene
CCDC88C	1	#D10505	Disease Gene
CCNDBP1	1	#D10505	RWR Added
CCT5	1	#D10505	Disease Gene
CD93	1	#D10505	RWR Added
CDC73	1	#D10505	RWR Added
CDH2	1	#D10505	Disease Gene
CDKN1B	1	#D10505	RWR Added
CHD8	1	#D10505	Disease Gene
CHKB	1	#D10505	Disease Gene
CHRNE	1	#D10505	Disease Gene
CHRNG	1	#D10505	Disease Gene
CIAPIN1	1	#D10505	RWR Added
CIR1	1	#D10505	RWR Added
CLIP3	1	#D10505	RWR Added
CLN3	1	#D10505	Disease Gene
CLTCL1	1	#D10505	Disease Gene
CNBP	1	#D10505	Disease Gene
CNST	1	#D10505	RWR Added
CNTN1	1	#D10505	Disease Gene
CNTRL	1	#D10505	RWR Added
COA7	1	#D10505	Disease Gene
COASY	1	#D10505	RWR Added
COL12A1	1	#D10505	Disease Gene
COL13A1	1	#D10505	Disease Gene
COL25A1	1	#D10505	Disease Gene
COLQ	1	#D10505	Disease Gene
COPS6	1	#D10505	RWR Added
COQ2	1	#D10505	Disease Gene
COQ4	1	#D10505	Disease Gene
COQ5	1	#D10505	Disease Gene
COQ6	1	#D10505	Disease Gene
COQ9	1	#D10505	Disease Gene
COX15	1	#D10505	Disease Gene
COX16	1	#D10505	Disease Gene
COX20	1	#D10505	Disease Gene
COX6A1	1	#D10505	Disease Gene
COX6B1	1	#D10505	RWR Added
CPT1C	1	#D10505	Disease Gene
CPT2	1	#D10505	Disease Gene
CRADD	1	#D10505	RWR Added
CRELD1	1	#D10505	RWR Added
CRTC3	1	#D10505	RWR Added
CTDP1	1	#D10505	Disease Gene
CTNNA3	1	#D10505	Disease Gene
CUL3	1	#D10505	RWR Added
CWC15	1	#D10505	RWR Added
CWF19L1	1	#D10505	Disease Gene
CYP2U1	1	#D10505	Disease Gene
CYP7B1	1	#D10505	Disease Gene
DAXX	1	#D10505	RWR Added
DCAF8	1	#D10505	Disease Gene
DCHS1	1	#D10505	RWR Added
DCTN1	1	#D10505	Disease Gene
DDHD2	1	#D10505	Disease Gene
DDN	1	#D10505	RWR Added
DEDD2	1	#D10505	RWR Added
DGAT2	1	#D10505	Disease Gene
DGUOK	1	#D10505	Disease Gene
DHTKD1	1	#D10505	Disease Gene
DHX9	1	#D10505	Disease Gene
DIRAS3	1	#D10505	RWR Added
DISC1	1	#D10505	RWR Added
DLD	1	#D10505	RWR Added
DMPK	1	#D10505	Disease Gene
DNA2	1	#D10505	Disease Gene
DNAAF3	1	#D10505	RWR Added
