Node	Cluster	Color	Origin
ITGAX	6	#CC33FFFF	RWR Added
NOD2	6	#CC33FFFF	RWR Added
CCR5	6	#CC33FFFF	RWR Added
SNX20	6	#CC33FFFF	RWR Added
FAM78A	6	#CC33FFFF	RWR Added
DOCK8	6	#CC33FFFF	Disease Gene
CCDC88B	6	#CC33FFFF	RWR Added
SH3BP1	6	#CC33FFFF	RWR Added
DEF6	6	#CC33FFFF	RWR Added
DENND1C	6	#CC33FFFF	RWR Added
TBX21	16	#99CCFFFF	RWR Added
GZMM	16	#99CCFFFF	RWR Added
CD8B	16	#99CCFFFF	RWR Added
SLFN12L	16	#99CCFFFF	RWR Added
THEMIS	16	#99CCFFFF	RWR Added
PYHIN1	16	#99CCFFFF	RWR Added
GPR174	16	#99CCFFFF	RWR Added
TRBV28	16	#99CCFFFF	RWR Added
CST7	16	#99CCFFFF	RWR Added
CCL4	16	#99CCFFFF	RWR Added
CD69	16	#99CCFFFF	RWR Added
SLA2	16	#99CCFFFF	RWR Added
PRF1	16	#99CCFFFF	RWR Added
GZMA	16	#99CCFFFF	RWR Added
GZMK	16	#99CCFFFF	RWR Added
PIM2	12	#FFFF00FF	RWR Added
DAPP1	12	#FFFF00FF	RWR Added
MATK	12	#FFFF00FF	RWR Added
SKAP1	12	#FFFF00FF	RWR Added
CERKL	12	#FFFF00FF	RWR Added
ZBP1	12	#FFFF00FF	RWR Added
NLRC3	12	#FFFF00FF	RWR Added
SEPTIN1	12	#FFFF00FF	RWR Added
SLAMF1	12	#FFFF00FF	RWR Added
GPR171	12	#FFFF00FF	RWR Added
LAX1	12	#FFFF00FF	RWR Added
RASGRP1	12	#FFFF00FF	RWR Added
ZNF831	12	#FFFF00FF	RWR Added
TESPA1	12	#FFFF00FF	RWR Added
POU2AF1	12	#FFFF00FF	RWR Added
IRF4	12	#FFFF00FF	Disease Gene
CAMK4	12	#FFFF00FF	RWR Added
CD27	12	#FFFF00FF	RWR Added
TCF7	12	#FFFF00FF	RWR Added
GFI1	12	#FFFF00FF	RWR Added
ITGB7	12	#FFFF00FF	RWR Added
CD96	15	#0000CCFF	RWR Added
FCMR	15	#0000CCFF	RWR Added
CD6	15	#0000CCFF	RWR Added
SP140	15	#0000CCFF	RWR Added
FCHO1	15	#0000CCFF	Disease Gene
RHOH	15	#0000CCFF	Disease Gene
PARP15	15	#0000CCFF	RWR Added
TBC1D10C	15	#0000CCFF	RWR Added
IKZF3	15	#0000CCFF	RWR Added
CARMIL2	15	#0000CCFF	RWR Added
PTPN22	13	#CCFF00FF	RWR Added
LRMP	13	#CCFF00FF	RWR Added
GPRIN3	13	#CCFF00FF	RWR Added
ITGA4	13	#CCFF00FF	RWR Added
IL12RB1	13	#CCFF00FF	RWR Added
TMEM154	13	#CCFF00FF	RWR Added
CYTIP	13	#CCFF00FF	RWR Added
PIK3R6	13	#CCFF00FF	RWR Added
CD28	13	#CCFF00FF	RWR Added
CD5	13	#CCFF00FF	RWR Added
GBP5	13	#CCFF00FF	RWR Added
ADAM28	13	#CCFF00FF	RWR Added
HLA-DOA	13	#CCFF00FF	RWR Added
CCL5	13	#CCFF00FF	RWR Added
CD3E	13	#CCFF00FF	Disease Gene
CD3D	13	#CCFF00FF	Disease Gene
CD8A	13	#CCFF00FF	Disease Gene
STAT4	13	#CCFF00FF	RWR Added
LCK	13	#CCFF00FF	Disease Gene
ZAP70	13	#CCFF00FF	Disease Gene
IL2RB	13	#CCFF00FF	RWR Added
CD247	13	#CCFF00FF	Disease Gene
SPIB	14	#358000FF	RWR Added
CD79B	14	#358000FF	RWR Added
CD79A	14	#358000FF	RWR Added
TNFRSF13B	14	#358000FF	RWR Added
TNFRSF13C	14	#358000FF	RWR Added
CD19	14	#358000FF	RWR Added
IL21	10	#CC0000FF	Disease Gene
IL2RG	10	#CC0000FF	Disease Gene
IL2RA	10	#CC0000FF	RWR Added
JAK3	10	#CC0000FF	Disease Gene
TNFRSF4	10	#CC0000FF	Disease Gene
IL7R	10	#CC0000FF	Disease Gene
ITK	10	#CC0000FF	Disease Gene
IGHM	10	#CC0000FF	RWR Added
CR2	10	#CC0000FF	RWR Added
MS4A1	10	#CC0000FF	RWR Added
LAT	10	#CC0000FF	Disease Gene
CTLA4	10	#CC0000FF	RWR Added
CD40LG	10	#CC0000FF	Disease Gene
SH2D1A	10	#CC0000FF	RWR Added
GRAP2	10	#CC0000FF	RWR Added
UBASH3A	10	#CC0000FF	RWR Added
ICOS	10	#CC0000FF	Disease Gene
CD3G	10	#CC0000FF	Disease Gene
IL21R	10	#CC0000FF	Disease Gene
