Node	Cluster	Color	Origin
IKBKB	14	#358000FF	RWR Added
TRAF6	14	#358000FF	RWR Added
RELA	11	#FFCCCCFF	RWR Added
MAPKAPK2	11	#FFCCCCFF	RWR Added
TRAF3IP2	11	#FFCCCCFF	Disease Gene
TNFRSF1A	11	#FFCCCCFF	RWR Added
TRAF3	11	#FFCCCCFF	Disease Gene
TNIP2	11	#FFCCCCFF	RWR Added
IRAK1	11	#FFCCCCFF	Disease Gene
TANK	11	#FFCCCCFF	RWR Added
RIPK1	11	#FFCCCCFF	RWR Added
TRAF2	11	#FFCCCCFF	RWR Added
RNF19B	11	#FFCCCCFF	RWR Added
MYD88	11	#FFCCCCFF	Disease Gene
TICAM1	11	#FFCCCCFF	Disease Gene
TOLLIP	11	#FFCCCCFF	RWR Added
UNC93B1	11	#FFCCCCFF	Disease Gene
GBP1	10	#CC0000FF	RWR Added
BIRC3	10	#CC0000FF	RWR Added
IRF9	10	#CC0000FF	Disease Gene
IRF1	10	#CC0000FF	Disease Gene
IRF7	10	#CC0000FF	Disease Gene
IFI16	10	#CC0000FF	RWR Added
PLSCR1	10	#CC0000FF	RWR Added
CASP4	10	#CC0000FF	RWR Added
HELZ2	10	#CC0000FF	RWR Added
MLKL	10	#CC0000FF	RWR Added
APOL1	10	#CC0000FF	Disease Gene
IL18BP	10	#CC0000FF	Disease Gene
SLC43A3	10	#CC0000FF	RWR Added
CLEC2B	10	#CC0000FF	RWR Added
SBNO2	10	#CC0000FF	RWR Added
NFKB2	10	#CC0000FF	RWR Added
UGCG	10	#CC0000FF	RWR Added
IFNAR1	8	#999999FF	Disease Gene
IFNAR2	8	#999999FF	Disease Gene
TYK2	8	#999999FF	Disease Gene
STAT3	8	#999999FF	RWR Added
IL6ST	8	#999999FF	RWR Added
CSK	8	#999999FF	RWR Added
JAK2	8	#999999FF	RWR Added
IFNG	8	#999999FF	Disease Gene
TLR9	8	#999999FF	RWR Added
IL12B	8	#999999FF	RWR Added
IL23R	8	#999999FF	Disease Gene
JAK1	8	#999999FF	Disease Gene
STAT5A	8	#999999FF	RWR Added
IFNGR1	8	#999999FF	Disease Gene
STAT1	8	#999999FF	Disease Gene
